Event_YYYYMM,Extracted_Cause_Category,count
2021-04,misapplied_procedure,1
2021-06,misapplied_procedure,1
2021-07,not_applicable,2
2021-08,not_applicable,1
2021-10,not_applicable,1
2022-02,not_applicable,1
2022-04,not_applicable,2
2022-05,not_applicable,1
2022-06,not_applicable,1
2022-07,not_applicable,1
2022-08,not_applicable,1
2022-09,not_applicable,2
2022-10,not_applicable,4
2023-04,not_applicable,1
2023-05,not_applicable,3
2023-06,not_applicable,1
2023-08,not_applicable,2
2023-10,not_applicable,2
2023-11,not_applicable,2
